Charges Laid by Location & Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022**
Danforth Ave. and Greenwood Ave.,0,0,0,557,205,299,468,631,544,613,3586,3551,2622,0,0,0
Queen St. and Woodbine Ave.,0,0,25,28,8,16,13,35,23,175,40,80,100,116,77,30
Jarvis St. and King St.,0,0,83,187,104,94,138,97,122,200,588,1318,1254,636,839,395
Lake Shore Blvd. and Leslie St.,0,1,252,722,512,612,334,3,16,386,191,346,304,195,190,84
Lower Jarvis St. and The Esplanade,0,0,414,891,108,0,284,727,665,692,2708,2500,1661,1131,447,570
Lake Shore Blvd. and Carlaw Ave.,0,0,214,1173,546,1097,768,623,583,732,566,650,601,305,343,125
Keele St. and Rogers Rd.,0,0,102,262,153,203,151,213,212,242,87,546,1309,1046,300,58
Bloor St. and Dundas St.,0,0,129,348,146,297,328,267,226,198,824,992,851,589,897,442
Yonge St. and Lawrence Ave.,0,0,188,131,740,963,864,772,402,255,155,272,211,271,1360,669
Spadina Ave. and Adelaide St.*,0,0,0,38,63,5,110,134,175,206,71,15,22,0,0,0
Eglinton Ave. and Spadina Rd.,0,0,0,752,813,954,774,683,683,713,975,601,420,722,631,211
Eglinton Ave. and Mount Pleasant Rd.*,0,0,93,221,156,109,121,143,149,24,0,0,0,0,0,0
Lawrence Ave. and Don Mills Rd.,0,0,30,86,68,63,90,85,86,112,11,40,80,81,68,36
Neilson Rd. and Sheppard Ave.,0,0,108,248,150,162,149,136,174,203,51,134,144,102,74,45
Sheppard Ave. and Malvern St. / Progress Ave.,0,0,73,622,695,584,507,287,1038,829,655,801,780,875,923,583
Ellesmere Rd. and Military Trl.,0,0,81,684,531,667,539,691,589,564,392,374,361,347,406,335
Kennedy Rd. and HWY 401 C E Kennedy Off Ramp / William Kitchen Rd.,,,,,,,,,,,104,5641,5454,4890,2662,909
University Ave. and Richmond St.,,,,,,,,,,,1334,2941,3106,1325,0,267
Adelaide St. and Parliament St.,,,,,,,,,,,718,808,1189,435,263,174
University Ave. and Adelaide St.,,,,,,,,,,,244,1009,908,685,719,893
Dixon Rd. and Martin Grove Rd.,,,,,,,,,,,150,314,240,217,111,77
University Ave. and Queen St.,,,,,,,,,,,740,2287,2292,1407,871,0
Keele St. and Wilson Ave.,,,,,,,,,,,172,490,485,493,450,282
Lake Shore Blvd. and Spadina Ave. / Lower Spadina Ave.,,,,,,,,,,,439,437,289,1267,1142,325
Lake Shore Blvd. and Park Lawn Rd. / Marine Parade Dr.,,,,,,,,,,,71,230,288,309,310,171
Sheppard Ave. and Bayview Ave.,,,,,,,,,,,57,127,105,84,73,137
Steeles Ave. and Weston Rd.,,,,,,,,,,,58,251,185,229,286,108
Lawrence Ave. and Greencedar Crct. / Greenbrae Crct.,,,,,,,,,,,506,901,709,711,1212,528
Finch Ave. and Birchmount Rd.,,,,,,,,,,,108,98,111,144,130,71
Finch Ave. and Sentinel Rd.*,,,,,,,,,,,341,149,0,0,0,0
Bloor St. and The East Mall,,,,,,,,,,,9,143,125,295,221,118
Albion Rd. and Finch Ave.*,,,,,,,,,,,116,56,0,0,0,0
Wilson Ave. and Jane St.,,,,,,,,,,,254,216,173,561,410,183
Warden Ave. and McNicoll Ave.,,,,,,,,,,,526,622,534,652,661,346
Finch Ave. and Martin Grove Rd.*,,,,,,,,,,,123,55,0,0,0,0
Steeles Ave. and Keele St.,,,,,,,,,,,255,257,102,0,0,0
University Ave. and Wellington St.,,,,,,,,,,,994,2856,1972,1620,1630,441
Albion Rd. and Kipling Ave.,,,,,,,,,,,197,571,250,310,431,301
The Queensway and Kipling Ave. ,,,,,,,,,,,0,75,222,171,145,71
Finch Ave. and Gordon Baker Rd. / HWY 404 N Ramp,,,,,,,,,,,66,504,498,405,510,138
Jarvis St. and Isabella St.,,,,,,,,,,,83,27,20,1,2,0
Danforth Rd. and Brimley Rd.,,,,,,,,,,,1668,1714,1468,1192,739,587
Dundas St. and River St.*,,,,,,,,,,,174,268,209,122,147*,4
McCowan Rd. and McNicoll Ave.,,,,,,,,,,,321,355,287,348,371,105
St. Clair Ave. and Gunns Rd. / Old Stock Yards Rd.,,,,,,,,,,,106,188,148,358,492,253
Spadina Ave. and King St.,,,,,,,,,,,363,1786,1520,1387,935,0
Sheppard Ave. and McCowan Rd.,,,,,,,,,,,453,538,519,339,946,275
King St. and Parliament St.,,,,,,,,,,,83,148,93,100,60,68
Rexdale Blvd. and Martin Grove Rd.,,,,,,,,,,,330,421,359,243,185,190
The Queensway and The East Mall,,,,,,,,,,,174,937,809,749,814,383
St. Clair Ave. and Spadina Rd.,,,,,,,,,,,209,262,147,122,104,151
Dufferin St. and Finch Ave.,,,,,,,,,,,457,624,219,291,289,152
Islington Ave. and Evans Ave.,,,,,,,,,,,122,95,477,731,545,236
Eglinton Ave. and Martin Grove Rd.,,,,,,,,,,,561,790,837,907,991,385
Finch Ave. and Brimley Rd.,,,,,,,,,,,123,102,103,75,109,96
Lake Shore Blvd. and Jameson Ave.,,,,,,,,,,,2139,3336,3125,1692,973,516
Eglinton Ave. and Danforth Rd.,,,,,,,,,,,2222,1729,1380,998,822,436
Neilson Rd. and McLevin Ave.,,,,,,,,,,,122,203,155,148,141,65
Simcoe St. and Wellington St.,,,,,,,,,,,15,49,51,34,26,1***
Jane St. and Stong Crt. / York Gate Blvd.,,,,,,,,,,,326,1239,1136,1005,1060,754
Ellesmere Rd. and Bellamy Rd.,,,,,,,,,,,290,441,352,241,276,117
Lawrence Ave. and Kennedy Rd.,,,,,,,,,,,100,81,38,118,168,40
Warden Ave. and Comstock Rd.,,,,,,,,,,,463,444,298,206,404,316
Sheppard Ave. and Malvern St. / Progress Ave.,,,,,,,,,,,198,208,163,234,201,112
Rexdale Blvd. and Kipling Ave.,,,,,,,,,,,52,70,111,220,214,84
Weston Rd. and Lawrence Ave.,,,,,,,,,,,52,303,224,242,0,0
Islington Ave. and Albion Rd.,,,,,,,,,,,67,127,102,81,228,88
Islington Ave. and The Queensway*,,,,,,,,,,,0,94,65,107,63*,0
Yonge St. and Steeles Ave.*,,,,,,,,,,,128,170,6,0,0,0
St. Clair Ave. and Runnymede Rd.,,,,,,,,,,,156,367,331,221,922,469
Warden Ave. and Ashtonbee Rd.,,,,,,,,,,,1083,1254,866,755,1045,820
Finch Ave. and Signet Dr.*,,,,,,,,,,,523,723,0,0,0,0
Keele St. and Lawrence Ave.,,,,,,,,,,,165,374,327,287,659,341
Birchmount Rd. and McNicoll Ave.,,,,,,,,,,,89,269,373,274,624,266
Finch Ave. and Middlefield Rd.,,,,,,,,,,,193,231,169,141,123,57
Dixon Rd. and Islington Ave.,,,,,,,,,,,15,364,286,170,334,170
Spadina Ave. and Bremner Blvd. / Fort York Blvd.,,,,,,,,,,,215,605,498,1880,1539,902
The Queensway and Royal York Rd.,,,,,,,,,,,49,43,31,23,10,10
Lake Shore Blvd. and Strachan Ave.,,,,,,,,,,,104,756,510,204,217,118
Lawrence Ave. and Markham Rd.,,,,,,,,,,,106,128,108,203,258,106
Jane St. and Falstaff Ave.,,,,,,,,,,,111,692,684,497,861,741
Avenue Rd. and Lawrence Ave.,,,,,,,,,,,151,130,121,72,672,319
Highway 27 and Finch Ave.*,,,,,,,,,,,346,153,0,0,0,0
Pharmacy Ave. and McNicoll Ave.,,,,,,,,,,,221,182,256,175,151,95
Markham Rd. and Progress Ave.,,,,,,,,,,,23,58,47,14,58,34
Markham Rd. and Sheppard Ave.,,,,,,,,,,,571,720,636,354,660,299
Don Mills Rd. and Van Horne Ave.,,,,,,,,,,,540,150,585,366,246,241
Sheppard Ave. and Morningside Ave.*,,,,,,,,,,,261,216,68,0,0,0
Morningside Ave. and Milner Ave.,,,,,,,,,,,625,494,150,242,193,82
Finch Ave. and Norfinch Dr. / Oakdale Rd.*,,,,,,,,,,,35,15,0,0,0,0
Kennedy Rd. and McNicoll Ave.,,,,,,,,,,,152,637,602,1110,1032,441
Ellesmere Rd. and Markham Rd.,,,,,,,,,,,,119,118,116,263,142
Bloor St. and Keele St. / Parkside Dr. ,,,,,,,,,,,,244,832,493,100,38
Eglinton Ave. and Scarlett Rd.,,,,,,,,,,,,,21,43,83,30
Steeles Ave. and Dufferin St.,,,,,,,,,,,,120,286,294,226,138
Dufferin St. and Dupont St. ,,,,,,,,,,,,13,105,43,251,124
Bloor St. and Islington Ave. ,,,,,,,,,,,,,11,47,36,30
Steeles Ave. and Highway 27,,,,,,,,,,,,,30,137,146,73
Don Mills Rd. and Sheppard Ave.,,,,,,,,,,,,,98,276,149,76
Steeles Ave. and Signet Dr.,,,,,,,,,,,,,318,401,727,474
Kennedy Rd. and Sheppard Ave,,,,,,,,,,,,,,870,752,367
Bathurst St. and Nina St.,,,,,,,,,,,,,,41,524,104
Avenue Rd. and Chaplin Cres.,,,,,,,,,,,,,,,0,305
Brimley Rd. and Huntingwood Dr.,,,,,,,,,,,,,,,431,352
Brimley Rd. and Progress Ave.,,,,,,,,,,,,,,,196,136
Kingston Rd. and Brimley Rd.,,,,,,,,,,,,,,,230,143
Lawrence Ave. and Scarborough Golf Club Rd.,,,,,,,,,,,,,,,280,188
Steeles Ave. and Markham Rd.,,,,,,,,,,,,,,,281,135
Steeles Ave. and Bathurst St.,,,,,,,,,,,,,,,0,79
Strachan Ave. and Wellington St.,,,,,,,,,,,,,,,47,49
University Ave. and College St.,,,,,,,,,,,,,,,80,76
University Ave. and Dundas St.,,,,,,,,,,,,,,,832,786
Warden Ave. and Ellesmere Rd.,,,,,,,,,,,,,,,781,702
Warden Ave. and Bridletowne Crcl. (South Intersection),,,,,,,,,,,,,,,6,200
Willowdale Ave. and Bishop Ave.,,,,,,,,,,,,,,,51,50
Cummer Ave. and Willowdale Ave.,,,,,,,,,,,,,,,555,0
Sheppard Ave. and Victoria Park Ave.,,,,,,,,,,,,,,,193,100
Bathurst St. and Finch Ave.,,,,,,,,,,,,,,,27,102
Finch Ave. and Don Mills Rd.,,,,,,,,,,,,,,,82,137
Steeles Ave. and Jane St.,,,,,,,,,,,,,,,491,153
Sheppard Ave. and Jane St.,,,,,,,,,,,,,,,153,93
Lawrence Ave. and Midland Ave.,,,,,,,,,,,,,,,14,26
McCowan Rd. and Ellesmere Rd.,,,,,,,,,,,,,,,81,53
McCowan Rd. and Brimorton Dr.,,,,,,,,,,,,,,,1056,534
Highway 27 and Rexdale Blvd.,,,,,,,,,,,,,,,82,10
Bathrust St. and Wilson Ave.,,,,,,,,,,,,,,,275,257
Jarvis St. and Shuter St.,,,,,,,,,,,,,,,724,399
Lawrence Ave. and Greencrest Crct.,,,,,,,,,,,,,,,730,726
Steeles Ave. and Martin Grove Rd.,,,,,,,,,,,,,,,358,268
Lake Shore Blvd. and Lower Simcoe St.,,,,,,,,,,,,,,,14,19
Martin Grove Rd. and Belfield Rd.,,,,,,,,,,,,,,,112,63
Finch Ave. and Markham Rd.,,,,,,,,,,,,,,,1033,385
Finch Ave. and Warden Ave.,,,,,,,,,,,,,,,224,142
Lawrence Ave. and Pharmacy Ave.,,,,,,,,,,,,,,,324,454
Jane St. and Dundas St.,,,,,,,,,,,,,,,,28
Eglinton Ave. and Markham Rd.,,,,,,,,,,,,,,,183,167
St. Clair Ave. and Danforth Rd.,,,,,,,,,,,,,,,145,51
Lawrence Ave. and McCowan Rd.,,,,,,,,,,,,,,,284,282
Morningside Ave. and Hwy. 401 N Ramp,,,,,,,,,,,,,,,487,328
Bellamy Rd. and Brimorton Dr.,,,,,,,,,,,,,,,232,146
Weston rd. and Fenmar Dr.,,,,,,,,,,,,,,,167,98
Markham Rd. and McNicoll Ave.,,,,,,,,,,,,,,,537,322
Lawrence Ave. and Warden Ave.,,,,,,,,,,,,,,,272,55
Kippling Ave. and Widdicombe Hill,,,,,,,,,,,,,,,255,328
Steeles Ave. and Warden Ave.,,,,,,,,,,,,,,,2,99
Lawrence Ave. and Brimley Rd.,,,,,,,,,,,,,,,195,246
William R. Allen Rd. and Sheppard Ave. W,,,,,,,,,,,,,,,275,225
Midland Ave. and Copthorne Ave.,,,,,,,,,,,,,,,76,83
Steeles Ave. and Don Mills Rd.,,,,,,,,,,,,,,,50,117
Finch Ave. and McCowan Rd.,,,,,,,,,,,,,,,7,37
Steeles Ave. and Alness St.,,,,,,,,,,,,,,,108,112
Markham Rd. and McLevin Ave.,,,,,,,,,,,,,,,4,579
Burnhamthorpe Rd. and The West Mall,,,,,,,,,,,,,,,72,75
Markham rd. and Milner Ave.,,,,,,,,,,,,,,,34,76
Jane St. and St. Clair Ave. W.,,,,,,,,,,,,,,,34,80
Finch Ave. E. and Neilson Rd.,,,,,,,,,,,,,,,122,123
Lawrence Ave. and Howden Rd.,,,,,,,,,,,,,,,77,1491
Kennedy Rd. and Finch Ave. E.,,,,,,,,,,,,,,,29,81
Finch Ave. E. and Kenneth Ave.,,,,,,,,,,,,,,,6,60
Willowdale Ave. and Spring Garden Ave.,,,,,,,,,,,,,,,7,88
O'Connor Dr. and Sunrise Ave.,,,,,,,,,,,,,,,16,53
Martin Grove Rd. and Bethridge Rd.,,,,,,,,,,,,,,,174,231
Brimley Rd. and Sheppard Ave. E,,,,,,,,,,,,,,,78,193
Markham Rd. and Greencedar Crct.,,,,,,,,,,,,,,,16,77
Evans Ave. and Horner Ave.,,,,,,,,,,,,,,,45,96
Dundas St. 275 M N of Royal York Rd.,,,,,,,,,,,,,,,166,521
McCowan Rd. 210M S of Alton Towers Circle,,,,,,,,,,,,,,,33,429
Jane St. and William Cragg Dr.,,,,,,,,,,,,,,,10,283
NEILSON RD.  and MILITARY TRL.,,,,,,,,,,,,,,,,158
MARTIN GROVE  and JOHN GARLAND BLVD.,,,,,,,,,,,,,,,,33
O'CONNOR DR.  and PAPE AVE.,,,,,,,,,,,,,,,,293
MEADOWVALE RD.  and DEAN OARK RD.,,,,,,,,,,,,,,,,212
WARDEN AVE. and HUNTINGWOOD DR.,,,,,,,,,,,,,,,,190
BLOOR ST. and ROYAL YORK RD.,,,,,,,,,,,,,,,,3
KEELE ST. and 401 C W KEELE ST. RAMP,,,,,,,,,,,,,,,,240
